Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.37,-.53,-.25,-.32,-.08,-.18,-.21,-.29,-.25,-.33,-.45,-.43,-.31,***,***,-.21,-.22,-.34
1881,-.31,-.26,-.06,-.03,.03,-.34,.09,-.06,-.28,-.44,-.37,-.24,-.19,-.21,-.33,-.02,-.10,-.36
1882,.25,.21,.01,-.31,-.24,-.29,-.28,-.17,-.26,-.52,-.34,-.69,-.22,-.18,.07,-.18,-.25,-.38
1883,-.58,-.65,-.16,-.29,-.25,-.12,-.07,-.23,-.34,-.16,-.45,-.16,-.29,-.33,-.64,-.23,-.14,-.32
1884,-.17,-.11,-.64,-.60,-.36,-.42,-.41,-.51,-.45,-.45,-.58,-.48,-.43,-.41,-.15,-.53,-.45,-.50
1885,-1.02,-.46,-.25,-.50,-.60,-.46,-.35,-.42,-.40,-.37,-.39,-.11,-.44,-.47,-.65,-.45,-.41,-.39
1886,-.75,-.84,-.71,-.37,-.34,-.39,-.16,-.44,-.34,-.32,-.41,-.21,-.44,-.43,-.57,-.48,-.33,-.35
1887,-1.09,-.70,-.44,-.38,-.26,-.22,-.25,-.56,-.22,-.49,-.27,-.44,-.44,-.42,-.67,-.36,-.34,-.32
1888,-.49,-.62,-.65,-.23,-.16,-.04,-.01,-.22,-.20,-.04,-.02,-.24,-.24,-.26,-.52,-.35,-.09,-.09
1889,-.28,.28,-.03,.15,-.05,-.08,-.08,-.21,-.30,-.42,-.62,-.55,-.18,-.16,-.08,.02,-.13,-.45
1890,-.64,-.58,-.49,-.26,-.37,-.17,-.25,-.40,-.36,-.11,-.64,-.48,-.40,-.40,-.59,-.37,-.28,-.37
1891,-.46,-.67,-.16,-.36,-.16,-.13,-.13,-.13,-.08,-.28,-.53,-.02,-.26,-.30,-.54,-.22,-.13,-.30
1892,-.50,-.18,-.66,-.45,-.23,-.05,-.38,-.33,-.21,-.27,-.82,-.67,-.40,-.34,-.23,-.45,-.25,-.43
1893,-1.50,-.96,-.32,-.30,-.43,-.18,-.14,-.34,-.28,-.28,-.34,-.60,-.47,-.48,-1.05,-.35,-.22,-.30
1894,-.92,-.43,-.22,-.54,-.27,-.41,-.21,-.27,-.33,-.28,-.48,-.36,-.39,-.41,-.65,-.34,-.30,-.36
1895,-.70,-.81,-.50,-.19,-.31,-.21,-.19,-.28,-.06,-.09,-.13,-.23,-.31,-.32,-.62,-.33,-.23,-.09
1896,-.37,-.19,-.50,-.61,-.17,.06,-.01,-.12,-.13,.04,-.21,-.22,-.20,-.20,-.26,-.43,-.02,-.10
1897,-.39,-.41,-.40,-.05,.12,-.07,.03,-.07,-.07,-.16,-.27,-.30,-.17,-.16,-.34,-.11,-.04,-.17
1898,.04,-.46,-.79,-.27,-.28,-.09,-.12,-.19,-.19,-.38,-.50,-.28,-.29,-.29,-.24,-.45,-.13,-.35
1899,-.13,-.63,-.60,-.23,-.25,-.37,-.16,-.06,-.04,.05,.34,-.47,-.21,-.20,-.35,-.36,-.20,.12
1900,-.63,-.15,.05,-.11,-.04,-.11,-.12,-.09,-.03,.22,-.13,-.03,-.10,-.13,-.42,-.03,-.11,.02
1901,-.35,-.08,.27,.10,-.12,.01,.02,-.16,-.27,-.32,-.19,-.41,-.13,-.09,-.16,.08,-.04,-.26
1902,-.15,-.03,-.37,-.35,-.38,-.41,-.33,-.28,-.33,-.33,-.47,-.61,-.34,-.32,-.19,-.37,-.34,-.38
1903,-.24,.11,-.17,-.46,-.44,-.46,-.43,-.56,-.49,-.45,-.40,-.56,-.38,-.38,-.25,-.36,-.48,-.45
1904,-.75,-.61,-.46,-.50,-.44,-.49,-.59,-.55,-.64,-.39,-.09,-.34,-.49,-.51,-.64,-.47,-.54,-.37
1905,-.41,-.82,-.22,-.44,-.28,-.27,-.22,-.24,-.19,-.25,.10,-.17,-.28,-.30,-.52,-.32,-.24,-.11
1906,-.55,-.54,-.20,.05,-.24,-.11,-.27,-.17,-.23,-.17,-.39,.03,-.23,-.25,-.42,-.13,-.18,-.26
1907,-.57,-.72,-.31,-.45,-.58,-.51,-.40,-.39,-.39,-.19,-.56,-.59,-.47,-.42,-.42,-.45,-.43,-.38
1908,-.54,-.27,-.71,-.48,-.30,-.30,-.36,-.57,-.30,-.44,-.63,-.55,-.45,-.46,-.47,-.49,-.41,-.46
1909,-.94,-.45,-.67,-.65,-.50,-.52,-.45,-.36,-.37,-.34,-.12,-.57,-.50,-.49,-.65,-.61,-.45,-.28
1910,-.37,-.38,-.49,-.42,-.32,-.45,-.39,-.41,-.43,-.31,-.61,-.82,-.45,-.43,-.44,-.41,-.42,-.45
1911,-.70,-.59,-.63,-.46,-.46,-.36,-.39,-.44,-.38,-.20,-.21,-.32,-.43,-.47,-.71,-.52,-.40,-.26
1912,-.36,-.17,-.61,-.16,-.13,-.15,-.53,-.78,-.81,-.85,-.52,-.57,-.47,-.45,-.28,-.30,-.49,-.73
1913,-.56,-.64,-.47,-.50,-.55,-.49,-.53,-.46,-.42,-.39,-.16,.10,-.42,-.48,-.59,-.51,-.49,-.32
1914,.17,-.10,-.35,-.39,-.19,-.22,-.34,-.28,-.30,.00,-.23,-.06,-.19,-.18,.06,-.31,-.28,-.18
1915,-.28,-.10,-.23,.06,-.01,-.14,-.11,-.15,-.20,-.27,-.03,-.24,-.14,-.13,-.15,-.06,-.13,-.17
1916,-.11,-.19,-.39,-.35,-.39,-.52,-.34,-.37,-.50,-.36,-.48,-1.13,-.43,-.35,-.18,-.38,-.41,-.44
1917,-.52,-.68,-.76,-.66,-.74,-.49,-.33,-.41,-.31,-.63,-.33,-1.06,-.58,-.58,-.78,-.72,-.41,-.43
1918,-.69,-.49,-.28,-.60,-.51,-.47,-.35,-.38,-.26,-.05,-.22,-.57,-.41,-.45,-.75,-.46,-.40,-.18
1919,-.38,-.40,-.39,-.24,-.43,-.40,-.35,-.32,-.20,-.09,-.49,-.57,-.35,-.35,-.45,-.35,-.36,-.26
1920,-.16,-.30,.00,-.21,-.22,-.27,-.26,-.33,-.36,-.40,-.45,-.72,-.31,-.29,-.34,-.15,-.29,-.40
1921,.18,-.10,-.11,-.17,-.25,-.15,-.03,-.30,-.18,.00,-.11,-.13,-.11,-.16,-.21,-.18,-.16,-.10
1922,-.39,-.64,-.12,-.16,-.18,-.16,-.28,-.38,-.43,-.31,-.12,-.16,-.28,-.28,-.39,-.15,-.27,-.29
1923,-.18,-.48,-.39,-.55,-.40,-.25,-.30,-.29,-.18,.06,.15,.11,-.23,-.25,-.28,-.45,-.28,.01
1924,-.28,-.20,.02,-.27,-.07,-.20,-.23,-.27,-.23,-.24,.11,-.37,-.18,-.15,-.12,-.10,-.24,-.12
1925,-.27,-.37,-.22,-.17,-.23,-.27,-.27,-.21,-.05,-.10,.23,.23,-.14,-.19,-.33,-.21,-.25,.02
1926,.53,.18,.38,-.14,-.23,-.21,-.20,-.07,-.04,.06,.16,-.30,.01,.05,.32,.00,-.16,.06
